name,writer,rate,plot,lang,char,setting,litery award,link
The Secret Garden,Frances Hodgson Burnett,4.13,"""One of the most delightful and enduring classics of children's literature, The Secret Garden by Victorian author Frances Hodgson Burnett has remained a firm favorite with children the world over ever since it made its first appearance. Initially published as a serial story in 1910 in The American Magazine, it was brought out in novel form in 1911. ",English,"Archibald Craven,Susan Sowerby,Mrs. Medlock,Dr. Craven","Yorkshire, England",Lewis Carroll Shelf Award (1958),https://www.goodreads.com/book/show/2998.The_Secret_Garden
The Color Purple,Alice Walker,4.22,"A powerful cultural touchstone of modern American literature, ",English,,,"Pulitzer Prize for Fiction (1983),National Book Award for Fiction (Hardcover) (1983),National Book Critics Circle Award Nominee for Fiction (1982),Townsend Prize for Fiction (1984)",https://www.goodreads.com/book/show/52892857-the-color-purple
The Complete Sherlock Holmes,Arthur Conan Doyle,4.48,A study in scarlet --,English,"Mrs Hudson (Conan Doyle series),John H. Watson, M.D.,Mycroft Holmes,Sherlock Holmes,Dr. John Watson",,Audie Award for Classic (2014),https://www.goodreads.com/book/show/188572.The_Complete_Sherlock_Holmes
The Stand,Stephen King,4.34,,English,"Fran Goldsmith,Harold Lauder,Joe/Leo Rockway,Mother Abigail Freemantle,Randall Flagg,Trashcan Man,The Anti-Christ,Judge Farris,Larry Underwood,General William Starkey,Major Len Creighton,The Rat Man,Captain Trips,Charles D. Campion,Lucy Swann,Lloyd Henreid,Julie Lawry,Ralph Brentner,Dayna Jurgens,United States Military,American Law Enforcement,Kojak,...less,Las Vegas, Nevada,Arnett, Texas,Pennsylvania,Arkansas,Arizona,Nevada,Idaho,Boulder, Colorado",United States of America,"Locus Award Nominee for Best SF Novel (1979),World Fantasy Award Nominee for Best Novel (1979),Gandalf Award Nominee (1979),Balrog Award Nominee for Best Novel (1979) (1980)",https://www.goodreads.com/book/show/149267.The_Stand
The Metamorphosis,Franz Kafka,3.82,"""As Gregor Samsa awoke one morning from uneasy dreams he found himself transformed in his bed into a gigantic insect. He was laying on his hard, as it were armor-plated, back and when he lifted his head a little he could see his domelike brown belly divided into stiff arched segments on top of which the bed quilt co",,,,,https://www.goodreads.com/book/show/485894.The_Metamorphosis
The Unbearable Lightness of Being,Milan Kundera,4.10,In ,English,,Prague (Praha),Los Angeles Times Book Prize for Fiction (1984),https://www.goodreads.com/book/show/9717.The_Unbearable_Lightness_of_Being
Rebecca,Daphne du Maurier,4.23,Last night I dreamt I went to Manderley again . . .,English,"Jack Favell,Beatrice Lacy,Giles Lacy",Monte Carlo,"National Book Award for Fiction (1938),Anthony Award for Best Novel of the Century (2000)",https://www.goodreads.com/book/show/17899948-rebecca
Love in the Time of Cholera,Gabriel García Márquez,3.92,,English,"Hildebranda Sánchez,Trànsito Ariza,Leona Cassiani,América Vicuna",Colombia,"Audie Award,Los Angeles Times Book Prize for Fiction (1988)",https://www.goodreads.com/book/show/9712.Love_in_the_Time_of_Cholera
A Prayer for Owen Meany,John Irving,4.23,,English,,"Gravesend, New Hampshire",,https://www.goodreads.com/book/show/4473.A_Prayer_for_Owen_Meany
The Lorax,Dr. Seuss,4.34,,English,,,"California Young Readers Medal Nominee for Primary (1976),Green Prize for Sustainable Literature",https://www.goodreads.com/book/show/7784.The_Lorax
The Pillars of the Earth,Ken Follett,4.31,"Everything readers expect from Follett is here: intrigue, fast-paced action, and passionate romance. But what",,"Jack Jackson,Stephen of England,Empress Matilda,William Hamleigh,Ellen,Richard of Kingsbridge,Alfred Builder,Waleran Bigod,Lord Percy Hamleigh,Lady Regan Hamleigh,Remigius",England,,https://www.goodreads.com/book/show/5043.The_Pillars_of_the_Earth
Where the Wild Things Are,Maurice Sendak,4.22,,English,,,"Caldecott Medal (1964),Lewis Carroll Shelf Award,Indies Choice Book Award for Picture Book Hall of Fame (2009)",https://www.goodreads.com/book/show/19543.Where_the_Wild_Things_Are
The Name of the Rose,Umberto Eco,4.12,,English,"Berengar of Arundel,Venantius of Salvemec,Jorge of Burgos,Remigio of Varagine,Salvatore of Montferrat,Nicholas of Morimondo,Ubertino of Casale,Bernard Gui,Benno of Uppsala,Alinardo of Grottaferrata,Michael of Cesena",Italian Benedictine monastery,"إمبيرتو,Premio Strega (1981),Los Angeles Times Book Prize Nominee for Fiction (1983),Edgar Award Nominee for Best Novel (1984),PEN Translation Prize for William Weaver (1984),Premio Anghiari (1981),Premio Il Libro dell'anno (1981),Prix Médicis Etranger (1982),このミステリーがすごい！ for Best Translated Mystery Novel of the Year in Japan (1991)",https://www.goodreads.com/book/show/119073.The_Name_of_the_Rose
On the Road,Jack Kerouac,3.62,,English,,,Grammy Award Nominee for Best Spoken Word Album (2001),https://www.goodreads.com/book/show/70401.On_the_Road
Charlie and the Chocolate Factory,Roald Dahl,4.14,Charlie Bucket's wonderful adventure begins when he finds one of Mr. Willy Wonka's precious Golden Tickets and wins a whole day inside the mysterious chocolate factory. Little does he know the surprises that are in store for him!,English,"Mike Teavee,Grandpa Joe",,"Books I Loved Best Yearly (BILBY) Awards for Read Aloud (1992),North Dakota Children's Choice Award (1985)",https://www.goodreads.com/book/show/6310.Charlie_and_the_Chocolate_Factory
The Sun Also Rises,Ernest Hemingway,3.82,"The quintessential novel of the Lost Generation, ",,"Pedro Romero,...less,Madrid",,,https://www.goodreads.com/book/show/3876.The_Sun_Also_Rises
Dune,Frank Herbert,4.23,"Set on the desert planet Arrakis, Dune is the story of the boy Paul Atreides, heir to a noble family tasked with ruling an inhospitable world where the only thing of value is the “spice” melange, a drug capable of extending life and enhancing consciousness. Coveted across the known universe, melange is a prize worth killing for...",English,"Alia Atreides,Lady Jessica,Shaddam IV,Gurney Halleck,...less,Harko,Arrakin,Sietch Tabr",,"Hugo Award for Best Novel (1966),Nebula Award for Best Novel (1965),Seiun Award 星雲賞 for Best Foreign Novel (1974)",https://www.goodreads.com/book/show/44767458-dune
The Outsiders,S.E. Hinton,4.10," is about two weeks in the life of a 14-year-old boy. The novel tells the story of Ponyboy Curtis and his struggles with right and wrong in a society in which he believes that he is an outsider. According to Ponyboy, there are two kinds of people in the world: greasers and socs. A soc (short for ""social"") has money, can get away with just about anything, and h",,"Keith ""Two-Bit"" Matthews,Steve Randle,Sherri ""Cherry"" Valance,Curly Shepard,Tim Shepard",,"Books I Loved Best Yearly (BILBY) Awards for Secondary  (1991),Margaret A. Edwards Award (1988)",https://www.goodreads.com/book/show/231804.The_Outsiders
All Quiet on the Western Front,Erich Maria Remarque,3.98,One by one the boys begin to fall…,English,Fredrich Müller,,Luisterboek Award Nominee (2015),https://www.goodreads.com/book/show/355697.All_Quiet_on_the_Western_Front
The Master and Margarita,Mikhail Bulgakov,4.29,"The first complete, annotated English Translation of Mikhail Bulgakov's comic masterpiece.",English,"Ivan Nikolayevich Ponyryov,Yeshua Ha-Nozri,Mikhail Alexandrovich Berlioz,Hella (The Master and Margarita),Stephan Bogdanovich Likhodeyev,Natasha (The Master and Margarita),Korovyev,Azazello",Moscow,,https://www.goodreads.com/book/show/117833.The_Master_and_Margarita
The Good Earth,Pearl S. Buck,3.99,"This tells the poignant tale of a Chinese farmer and his family in old agrarian China. The humble Wang Lung glories in the soil he works, nurturing the land as it nurtures him and his family. Nearby, the nobles of the House of Hwang consider themselves above the land and its workers; but they will soon meet their own downfall.",English,,,"Pulitzer Prize for Novel (1932),William Dean Howells Medal (1935)",https://www.goodreads.com/book/show/1078.The_Good_Earth
The Hitchhiker's Guide to the Galaxy,Douglas Adams,4.22,"Seconds before the Earth is demolished to make way for a galactic freeway, Arthur Dent is plucked off the planet by his friend Ford Prefect, a researcher for the revised edition of ",,Slartibartifast,,,https://www.goodreads.com/book/show/386162.The_Hitchhiker_s_Guide_to_the_Galaxy
The Joy Luck Club,Amy Tan,3.93,"Four mothers, four daughters, four families, whose histories shift with the four winds depending on who's telling the stories. In 1949, four Chinese women, recent immigrants to San Francisco, meet weekly to play mahjong and tell stories of what they left behind in China. United in loss and new hope for their daughters' futures, they call themselves the Joy Luck Club. Their daughters, who have never heard these stories, think their mothers' advice is irrelevant to their modern American lives – until their own inner crises reveal how much they've unknowingly inherited of their mothers' pasts. ",English,"Rose Hsu Jordan,Ying-Ying St. Clair,Lena St. Clair","San Francisco, California","California Book Award for Fiction (Gold) (1989),Los Angeles Times Book Prize Nominee for Fiction (1989),Northern California Book Awards for Fiction (1989),National Book Critics Circle Award Nominee for Fiction (1989),National Book Award Finalist for Fiction (1989)",https://www.goodreads.com/book/show/7763.The_Joy_Luck_Club
Beloved,Toni Morrison,3.87,"Winner of the Pulitzer Prize, Toni Morrison’s Beloved is a spellbinding and dazzlingly innovative portrait of a woman haunted by the past.",English,"Stamp Paid,Sixo,Halle,Schoolteacher",Ohio,"Pulitzer Prize for Fiction (1988),American Book Award (1988),Anisfield-Wolf Book Award (1988),National Book Critics Circle Award Nominee for Fiction (1987),Frederic G. Melcher Book Award (1988),National Book Award Finalist for Fiction (1987)",https://www.goodreads.com/book/show/6149.Beloved
The Fountainhead,Ayn Rand,3.87,"The revolutionary literary vision that sowed the seeds of Objectivism, Ayn Rand's groundbreaking philosophy, and brought her immediate worldwide acclaim.",English,,"New York City, New York",,https://www.goodreads.com/book/show/2122.The_Fountainhead
A Confederacy of Dunces,John Kennedy Toole,3.89,"Meet Ignatius J. Reilly, the hero of John Kennedy Toole's tragicomic tale, ",English,"Lana Lee,Burma Jones","New Orleans, Louisiana","Pulitzer Prize for Fiction (1981),PEN/Faulkner Award for Fiction Nominee (1981),Los Angeles Times Book Prize Nominee for Fiction (1980)",https://www.goodreads.com/book/show/310612.A_Confederacy_of_Dunces
Ulysses,James Joyce,3.73,,,"Bantam Lyons,Simon Dedalus,Myles Crawford,William Humble, Earl of Dudley,Hugh ""Blazes"" Boylan,The Citizen,Gerty MacDowell,Mina Purefoy,John Corley,D.B. Murphy,Matthew Lenehan,Fr. Bernard Vaughan,James Fitzharris,Fanny Moody,Charles Manners,Haines,Thomas ""Tommy"" Caffrey,John ""Jacky"" Caffrey,Martha Clifford,Mr. Power,Patrick Dignam,Patrick Aloysius Dignam, jnr.,Martin Cunningham,Fr. John Conmee,Bridget ""Bridie"" Kelly,J.J. O'Molloy,Mary Dedalus,George Russell,Stephen Daedalus,Stephen MacKenna,Mr Leopold Bloom,Mr Joseph M'Carthy Hynes,Mrs Marion Bloom,Mr Simon Dedalus,Alf Bergan,Buck Mulligan,Blazes Boylan,Mr Garrett Deasy,Mr Power,Millie Bloom,Boylan,Mr Paddy Dignam,Terence O'Ryan,Davy Byrne,Bob Doran,Mr Thomas Kernan,Ned Lambert,T. Lenehan,Mr O’madden Burke,Garrett Deasy,Mrs Josephine Breen,Benjamin Dollard,J. J. O'Molloy,John Eglinton,Mr V. Lynch,Edy Boardman,Tommy Caffrey,Cissy Caffrey,Jacky Caffrey,Mrs Bella Cohen,Richard Crookback,Richie Goulding,Walter Sexton,John Henry Menton,Sara (Sally) Goulding,Episode Twelve's Nameless Narrator,Mina Kennedy,Lydia Douce,Zoe Higgins,Mrs. Dignam,Paddy Dignam,Kitty Ricketts,Josie (Powell) Breen,Denis Breen,Dilly, Katey, Boody, and Maggy Dedalus,Mr Cornelius Kelleher,Thomas W. Lyster,Joseph P. Nannetti,Florry Talbot,Tom Rochford,Barney Kiernan,Mr Fox,Mr Hornblower,Mother Grogan,Master Boardman,Mrs Stoer,Signor Maffei,Gerald Ward A.D.C.,Jacob Halliday,Joseph Glynn,Ann Hathaway,Mr Bello,Brian Cooper Tweedy,Kevin Egan,Father Conroy,Almidano Artifoni,Luke Doyle,Alexander J. Keyes,Gerald Fitzgibbon,Henry Joy M'Cracken,Larry O'Rourke,Miss Whelan,Red Murray,Lizzie Twigg,John Howard Parnell,John F Taylor,MacHugh,Longworth,Michael E. Geraghty,Antonio Pabaiotti,Magennis,Mr Allfours,Mrs Fleming,Alderman John Hooper,Gumley,Ruttledge,Owen Goldberg,Gordon Bennett,Nannan,Floey Dillon,Frank Costello,Dan Dawson,Mr Russell,Mrs Riordan,Master Abraham Chatterton,Mrs Bandmann Palmer,Howard de Walden,Mrs Mervyn Talboys,Joe Brady,Mr Denis J Maginni,Marie Kendall,Canon O'Hanlon,Bald Pat,Punch Costello,Mr David Sheehy,Monsieur Moore,Samuel Childs,Jack Joe Harry Mulvey,Cyril Sargent,Alec Bannon,Pisser Burke,Theodore Purefoy,Virag Lipoti,Val Dillon,Mrs Yelverton Barry,Moses Mendelssohn,Lipoti Virag,Mrs Reggy Wylie T. C. D.,Michael Gunn,Pulbrook Robertson,Mrs Florence MacCabe,Bob Cowley,J. Citron,Terence Mulcahy,Mrs Mina Purefoy,Mr Joseph Cuffe,George Lidwell,Dick Tivy,Chris Callinan,Mr Philip Beaufoy,Synge,Father Dolan,Sam Bohee,Hoppy Holohan,James Kavanagh,Nelly Bouverist,Reuben J Dodd,Moses Herzog,Dilly Dedalus,James O'Connor,Bernard Corrigan,Paul de Kock,Lorcan Sherlock,James Stephens,Rudolph Bloom,John Wyse Nolan,Mrs Norman W. Tupper,Marcus Tertius Moses,Seymour Bushe,Georgina Johnson,Victoria Frances,Mrs Thornton,Philip Gilligan,Mrs Ellen M'Guinness,Master Francis Beaumont,Gerald Fitzedward,Myler Keogh,Arthur Edmund,Joe Chamberlain,Mrs Quigley,Leopold M'Intosh,Cashel Boyle O'Connor Fitzmaurice Tisdall Farrell,George Robert Mesias,Susy Nagle,Boody Dedalus,Bertha Supple,E. Dowden,Dr Francis Brady,Dlugacz,Mr Crimmins,Skin-the-Goat Fitzharris,Mrs Bellingham,Mrs Joe Gallaher,Mat Dillon,Penelope Rich,Charley Kavanagh,Frank O'Hara,Brunny Lynam,Davy Stephens,Mr Eugene Stratton,Mary Driscoll,Father Coffey,Mr Dainty Dixon,Percy Apjohn,Andrew Horne,Papli,Mrs Miriam Dandrade,Milly Bloom,Mr Delegate Madden,Roger Greene,Miss Callan,Bartell Darcy,Mrs Rubio,Bernard Vaughan,Bushe,Rathgar,P. Mastiansky,Jimmy Henry,Timothy Harrington,Patrice Egan,Patsy Caliban,Edward Fitzgerald,Mr Best,Mr Justice Fitzgibbon,Bridie Kelly,Mr Hugh C Haines Love M. A.,Mountjoy,Owen Garry,John Fanning,Talbot de Malahide,Katherine Brophy,John Conmee S.J.,Stephen Daedalus,Stephen MacKenna,Mr Leopold Bloom,Mr Joseph M'Carthy Hynes,Mrs Marion Bloom,Mr Simon Dedalus,Alf Bergan,Buck Mulligan,Blazes Boylan,Mr Garrett Deasy,Mr Power,Millie Bloom,Boylan,Mr Paddy Dignam,Mr. Joyce,Terence O'Ryan,Davy Byrne,Bob Doran,Mr Thomas Kernan,Ned Lambert,T. Lenehan,Mr O’madden Burke,Garrett Deasy,Mrs Josephine Breen,Benjamin Dollard,J. J. O'Molloy,John Eglinton,Mr V. Lynch,Edy Boardman,Tommy Caffrey,Cissy Caffrey,Jacky Caffrey,Mrs Bella Cohen,Joe Hynes,Richard Crookback,Richie Goulding,Walter Sexton,John Henry Menton,Sara (Sally) Goulding,Episode Twelve's Nameless Narrator,Mina Kennedy,Lydia Douce,Zoe Higgins,Mrs. Dignam,Paddy Dignam,Kitty Ricketts,Josie (Powell) Breen,Denis Breen,Dilly, Katey, Boody, and Maggy Dedalus,Mr Cornelius Kelleher,Thomas W. Lyster,Joseph P. Nannetti,Florry Talbot,Tom Rochford,Barney Kiernan,Mr Fox,Mr Hornblower,Mother Grogan,Master Boardman,Jack Mooney,Mrs Stoer,Moses Maimonides,Signor Maffei,Gerald Ward A.D.C.,Jacob Halliday,Joseph Glynn,Ann Hathaway,Mr Bello,Brian Cooper Tweedy,Kevin Egan,Father Conroy,Almidano Artifoni,Luke Doyle,Alexander J. Keyes,Gerald Fitzgibbon,Frederick Falkiner,Henry Joy M'Cracken,Larry O'Rourke,Miss Whelan,Red Murray,Lizzie Twigg,John Howard Parnell,John F Taylor,MacHugh,Longworth,Michael E. Geraghty,Antonio Pabaiotti,Magennis,Mr Allfours,Mrs Fleming,Alderman John Hooper,Gumley,Ruttledge,Owen Goldberg,Gordon Bennett,Nannan,Floey Dillon,Frank Costello,Dan Dawson,Mr Russell,Mrs Riordan,Master Abraham Chatterton,Mrs Bandmann Palmer,Howard de Walden,Vincent Lenehan,Mrs Mervyn Talboys,Joe Brady,Mr Denis J Maginni,Marie Kendall,Canon O'Hanlon,Bald Pat,Punch Costello,Mr David Sheehy,Monsieur Moore,Samuel Childs,Jack Joe Harry Mulvey,Cyril Sargent,Alec Bannon,Pisser Burke,Theodore Purefoy,Virag Lipoti,Val Dillon,Mrs Yelverton Barry,Moses Mendelssohn,Lipoti Virag,Mrs Reggy Wylie T. C. D.,Michael Gunn,Pulbrook Robertson,Mrs Florence MacCabe,Bob Cowley,J. Citron,Terence Mulcahy,Mrs Mina Purefoy,Mr Joseph Cuffe,George Lidwell,Dick Tivy,Chris Callinan,Mr Philip Beaufoy,Synge,Father Dolan,Sam Bohee,Hoppy Holohan,James Kavanagh,Nelly Bouverist,Reuben J Dodd,Moses Herzog,Dilly Dedalus,James O'Connor,Bernard Corrigan,Paul de Kock,Nosey Flynn,Lorcan Sherlock,James Stephens,Rudolph Bloom,John Wyse Nolan,Mrs Norman W. Tupper,Marcus Tertius Moses,Seymour Bushe,Georgina Johnson,Victoria Frances,Mrs Thornton,Philip Gilligan,Mrs Ellen M'Guinness,Master Francis Beaumont,Gerald Fitzedward,Robert Emmet,Myler Keogh,Arthur Edmund,Joe Chamberlain,Mrs Quigley,Leopold M'Intosh,Cashel Boyle O'Connor Fitzmaurice Tisdall Farrell,George Robert Mesias,Susy Nagle,Boody Dedalus,Bertha Supple,E. Dowden,Dr Francis Brady,Dlugacz,Mr Crimmins,Skin-the-Goat Fitzharris,Mrs Bellingham,Mrs Joe Gallaher,Mat Dillon,Penelope Rich,Charley Kavanagh,Frank O'Hara,Brunny Lynam,Davy Stephens,Mr Eugene Stratton,Mary Driscoll,Father Coffey,Mr Dainty Dixon,Percy Apjohn,Andrew Horne,Papli,Mrs Miriam Dandrade,Milly Bloom,Mr Delegate Madden,Roger Greene,Paddy Leonard,Miss Callan,Bartell Darcy,Mrs Rubio,Bernard Vaughan,Bushe,Rathgar,P. Mastiansky,Jimmy Henry,Timothy Harrington,Patrice Egan,Patsy Caliban,Edward Fitzgerald,Mr Best,Mr Justice Fitzgibbon,Bridie Kelly,Mr Hugh C Haines Love M. A.,Mountjoy,Owen Garry,John Fanning,Talbot de Malahide,Katherine Brophy,John Conmee S.J.,Robert Emmet,...less,Glasnevin Cemetary, Dublin,Ireland",,Национална награда „Христо Г. Данов“ for Преводна художествена литература (2004),https://www.goodreads.com/book/show/338798.Ulysses
Angela's Ashes,Frank McCourt,4.11,Imbued on every page with Frank McCourt's astounding humor and compassion. This is a glorious book that bears all the marks of a classic.,English,,,"Pulitzer Prize for Biography or Autobiography (1997),American Booksellers Book Of The Year  Award for Adult Trade (1997),Audie Award for Nonfiction, Abridged (1997),Los Angeles Times Book Prize for Biography (1996),Exclusive Books Boeke Prize (1997),National Book Critics Circle Award for Biography/Autobiography (1996)",https://www.goodreads.com/book/show/252577.Angela_s_Ashes
The World According to Garp,John Irving,4.09,,English,,,"National Book Award for Fiction (Paperback) (1980),National Book Critics Circle Award Nominee for Fiction (1978),National Book Award Finalist for Fiction (1979)",https://www.goodreads.com/book/show/7069.The_World_According_to_Garp
The Sound and the Fury,William Faulkner,3.86,"The tragedy of the Compson family features some of the most memorable characters in literature: beautiful, rebellious Caddy; the manchild Benjy; haunted, neurotic Quentin; Jason, the brutal cynic; and Dilsey, their black servant. Their lives fragmented and harrowed by history and legacy, the character’s voices and actions mesh to create what ",,"Candace ""Caddy"" Compson,Benjamin ""Benjy"" Compson,Miss Quentin Compson",,,https://www.goodreads.com/book/show/10975.The_Sound_and_the_Fury
For Whom the Bell Tolls,Ernest Hemingway,3.97,"In 1937 Ernest Hemingway traveled to Spain to cover the civil war there for the North American Newspaper Alliance. Three years later he completed the greatest novel to emerge from ""the good fight,"" ",,Pablo Saler,,,https://www.goodreads.com/book/show/46170.For_Whom_the_Bell_Tolls
A Clockwork Orange,Anthony Burgess,3.99,"A vicious fifteen-year-old droog is the central character of this 1963 classic. In Anthony Burgess's nightmare vision of the future, where criminals take over after dark, the story is told by the central character, Alex, who talks in a brutal invented slang that brilliantly renders his and his friends' social pathology. ",English,,,Prometheus Hall of Fame Award (2008),https://www.goodreads.com/book/show/227463.A_Clockwork_Orange
Little House on the Prairie,Laura Ingalls Wilder,4.19,"Meet Laura Ingalls, the little girl who would grow up to write the Little House books.",,,,,https://www.goodreads.com/book/show/77767.Little_House_on_the_Prairie
Where the Red Fern Grows,Wilson Rawls,4.08,"A loving threesome, they ranged the dark hills and river bottoms of Cherokee country. Old Dan had the brawn. Little Ann had the brains, and Billy had the will to make them into the finest hunting team in the valley. Glory and victory were coming to them, but sadness waited too. ",English,,Ozark Mountains,"Massachusetts Children's Book Award (1987),North Dakota Children's Choice Award (1981)",https://www.goodreads.com/book/show/10365.Where_the_Red_Fern_Grows
Their Eyes Were Watching God,Zora Neale Hurston,3.94,,English,"Nanny,Leafy,Johnny Taylor,Logan Killicks,Jody Starks,Tea Cake,Pearl Stone,Mrs. Sumpkins,Lulu Moss,Mis' Washburn,Mr. Washburn,Miss Nellie,Mayrella",Florida,Audie Award for Solo Narration - Female (2001),https://www.goodreads.com/book/show/37415.Their_Eyes_Were_Watching_God
Invisible Man,Ralph Ellison,3.88,"First published in 1952 and immediately hailed as a masterpiece, ",,"Brother Jack,Tod Clifton,Ras the Exhorter,Sybil (Invisible Man),Unnamed Narrator",,National Book Award for Fiction (1953),https://www.goodreads.com/book/show/16981.Invisible_Man
Waiting for Godot,Samuel Beckett,3.83,,,,,,https://www.goodreads.com/book/show/17716.Waiting_for_Godot
A Farewell to Arms,Ernest Hemingway,3.81," is the unforgettable story of an American ambulance driver on the Italian front and his passion for a beautiful English nurse. Set against the looming horrors of the battlefield - the weary, demoralized men marching in the rain during the German attack on Caporetto; the profound struggle between loyalty and desertion—this gripping, semiautobiographical w",English,,Italy,,https://www.goodreads.com/book/show/10799.A_Farewell_to_Arms
The Things They Carried,Tim O'Brien,4.13,"In 1979, Tim O'Brien's ",English,,,"Pulitzer Prize Nominee for Fiction (1991),Chicago Tribune Heartland Prize for Fiction (1990),Prix du Meilleur Livre Étranger for Roman (1990),National Book Critics Circle Award Nominee for Fiction (1990)",https://www.goodreads.com/book/show/133518.The_Things_They_Carried
Flowers for Algernon,Daniel Keyes,4.14,,,,,"Hugo Award Nominee for Best Novel (1967),Nebula Award for Best Novel (tie) (1966),Locus Award Nominee for All-Time Best Novel (36th in poll) (1975)",https://www.goodreads.com/book/show/36576608-flowers-for-algernon
Fear and Loathing in Las Vegas,Hunter S. Thompson,4.08," is the best chronicle of drug-soaked, addle-brained, rollicking good times ever committed to the printed page. It is also the tale of a long weekend road trip that has gone down in the annals of American pop culture as one of the strangest journeys ever undertaken.",English,,"Las Vegas, Nevada",,https://www.goodreads.com/book/show/7745.Fear_and_Loathing_in_Las_Vegas
Lonesome Dove,Larry McMurtry,4.48,"A love story, an adventure, and an epic of the frontier, Larry McMurtry’s Pulitzer Prize— winning classic, ",English,Lorena Wood,,"Pulitzer Prize for Fiction (1986),PEN/Faulkner Award for Fiction Nominee (1986),National Book Critics Circle Award Nominee for Fiction (1985),Spur Award for Best Western Novel (1985)",https://www.goodreads.com/book/show/256008.Lonesome_Dove
The Red Tent,Anita Diamant,4.18,"Her name is Dinah. In the Bible, her life is only hinted at in a brief and violent detour within the more familiar chapters of the Book of Genesis that are about her father, Jacob, and his dozen sons. Told in Dinah's voice, this novel reveals the traditions and turmoils of ancient womanhood—the world of the red tent. It begins with the story of her mothers—Leah, Rachel, Zilpah, and Bilhah—the four wives of Jacob. They love Dinah and give her gifts that sustain her through a hard-working youth, a calling to midwifery, and a new home in a foreign land. Dinah's story reaches out from a remarkable period of early history and creates an intimate connection with the past. Deeply affecting, ",English,,,"Book Sense Book of the Year Award for Adult Fiction (2001),Boston Author's Club Award (1998)",https://www.goodreads.com/book/show/4989.The_Red_Tent
Franny and Zooey,J.D. Salinger,3.98,"The short story, ",English,,,National Book Award Finalist for Fiction (1962),https://www.goodreads.com/book/show/5113.Franny_and_Zooey
Sophie's Choice,William Styron,4.18,,English,,"Brooklyn, New York City, New York","National Book Award for Fiction (Hardcover) (1980),National Book Critics Circle Award Nominee for Fiction (1979)",https://www.goodreads.com/book/show/228560.Sophie_s_Choice
Blindness,José Saramago,4.13,"A city is hit by an epidemic of ""white blindness"" that spares no one. Authorities confine the blind to an empty mental hospital, but there the criminal element holds everyone captive, stealing food rations, and assaulting women. There is one eyewitness to this nightmare who guides her ",English,"The boy with the squint,The old man with the black eye patch,The car thief",,"Premio San Clemente for Novela Estranxeira (1999),International Dublin Literary Award Nominee (1999)",https://www.goodreads.com/book/show/40495148-blindness
A Game of Thrones,George R.R. Martin,4.45,"Here is the first volume in George R. R. Martin’s magnificent cycle of novels that includes A Clash of Kings and A Storm of Swords. As a whole, this series comprises a genuine masterpiece of modern fantasy, bringing together the best the genre has to offer. Magic, mystery, intrigue, romance, and adventure fill these pages and transport us to a world unlike any we have ever experienced. Already hailed as a classic, George R. R. Martin’s stunning series is destined to stand as one of the great achievements of imaginative fiction.",English,"Theon Greyjoy,Robb Stark,Arya Stark,Jaime Lannister,Joffrey Baratheon,Robert Baratheon,Tywin Lannister,Lysa Arryn,Petyr Baelish,Sansa Stark,Viserys Targaryen,Varys,Hodor,Beric Dondarrion,Thoros of Myr,Sandor Clegane,Samwell Tarly,Pyp,Tommen Baratheon,Stannis Baratheon,Grenn,Mace Tyrell,Septa Mordane,Jon Snow,Cersei Lannister,Jorah Mormont",,"Nebula Award Nominee for Best Novel (1997),Locus Award for Best Fantasy Novel (1997),World Fantasy Award Nominee for Best Novel (1997),Premio Ignotus for Novela extranjera (2003)",https://www.goodreads.com/book/show/13496.A_Game_of_Thrones
A Portrait of the Artist as a Young Man,James Joyce,3.62,"The portrayal of Stephen Dedalus's Dublin childhood and youth, his quest for identity through art and his gradual emancipation from the claims of family, religion and Ireland itself, is also an oblique self-portrait of the young James Joyce and a universal testament to the artist's 'eternal imagination'. Both an insight into Joyce's life and childhood, and a unique work of modernist fiction, ",English,,"Clongowes Wood College, Kildare",,https://www.goodreads.com/book/show/7588.A_Portrait_of_the_Artist_as_a_Young_Man
To the Lighthouse,Virginia Woolf,3.78,"The serene and maternal Mrs. Ramsay, the tragic yet absurd Mr. Ramsay, and their children and assorted guests are on holiday on the Isle of Skye. From the seemingly trivial postponement of a visit to a nearby lighthouse, Woolf constructs a remarkable, moving examination of the complex tensions and allegiances of family life and the conflict between men and women.",English,"Minta Doyle,Charles Tansley,William Bankes,Augustus Carmichael,Andrew Ramsay,Jasper Ramsay,Roger Ramsay,Prue Ramsay,Rose Ramsay,Nancy Ramsay,Cam Ramsay,Mrs. McNab","Isle of Skye, Scotland",Prix Femina Vie Heureuse Anglais (1928),https://www.goodreads.com/book/show/59716.To_the_Lighthouse
Cat's Cradle,Kurt Vonnegut Jr.,4.16,"Dr Felix Hoenikker, one of the founding 'fathers' of the atomic bomb, has left a deadly legacy to the world. For he's the inventor of 'ice-nine', a lethal chemical capable of freezing the entire pla",English,"""Papa"" Monzano,Mona Aamons Monzano,John   --",San Lorenzo,Hugo Award Nominee for Best Novel (1964),https://www.goodreads.com/book/show/135479.Cat_s_Cradle
Winnie-the-Pooh,A.A. Milne,4.34,,,"Roo (A.A. Milne),Eeyore (A.A. Milne),Rabbit (A.A. Milne)",Hundred Acre Wood,,https://www.goodreads.com/book/show/99107.Winnie_the_Pooh
